"Kaygi" "Korku" "Ozyet" "Ilgi" "Davranis" "Basari"
"255" 0.56 -0.53 -0.77 0.6088 -1.0226 4.9
"256" -2.37 -1.6239 2.27 1.4565 1.7024 5.6
"257" 1.53 2.0328 -0.77 -0.3495 0.4486 4.9
"258" 0.79 -0.3017 -0.63 -0.2514 0.811 4.4
"259" 0.79 0.3889 -1.21 -0.2514 0.2171 4.8
"260" 2.55 1.5828 -0.18 -1.5329 -0.4567 4.2
"261" 0.56 -0.3017 -1.36 0.1775 1.1421 3.7
"262" -1.3 0.64 0.34 0.6584 1.3516 4.8
"263" 2.55 0.1524 -0.18 0.1775 0.2171 5.3
"264" -0.2 0.1524 -1.36 0.1775 -0.4567 3.9
"265" 0.79 0.9139 0.78 1.4565 0.4486 3.6
"266" -0.47 -0.6293 -0.02 0.6584 0.811 4.5
"267" 0.32 -0.53 0.15 0.6584 1.3516 4.1
"268" 1.02 -0.3017 -0.77 0.1775 -0.0721 3.5
"269" -1.3 -1.6239 2.27 0.1775 0.6426 5
"270" -0.47 -3.7666 2.27 -0.2514 4.4249 4.4
"271" -0.47 -0.767 0.34 1.4565 1.5866 4.2
"272" -0.47 0.3889 0.15 1.4565 0.6426 4.5
"273" -0.47 -1.2999 -0.33 1.4565 0.6426 4.4
"274" 0.79 0.3889 -0.48 -0.1829 1.2288 4.2
"275" 0.56 0.1524 -1.21 -1.5329 -0.0721 3
"276" 0.79 0.1524 -0.48 0.1775 -0.4567 4.5
"277" -1 0.3889 0.78 -0.2514 0.6426 4.5
"278" 2.55 -0.076 0.15 -1.5329 0.6426 3.7
"279" 0.06 -0.3017 0.15 -0.7332 0.6426 5
"280" 0.32 0.9139 -0.63 0.1775 0.4486 4.4
"281" 0.56 1.2219 -0.48 -0.2514 1.0998 4.4
"282" 1.89 0.64 -0.18 0.1775 -0.0721 4
"283" 1.89 0.9139 0.34 0.1775 0.6426 4.2
"284" 0.56 0.1524 -0.18 -1.5329 -0.0721 3.5
"285" 0.06 -0.076 -0.63 -1.3074 0.9618 4.2
"286" 0.79 -0.076 -0.33 -0.7332 0.6426 4.6
"287" 0.32 0.64 0.54 0.9794 0.2171 4.8
"288" -0.47 -0.076 -1.21 -0.2514 1.6394 4.5
"289" -0.47 0.3889 -1.06 -0.2514 1.3516 4.4
"290" 0.79 -0.3017 -1.06 -1.5329 0.9618 4
"291" -1.68 1.2219 -1.36 -1.5329 -0.0721 4.5
"292" 0.06 0.3889 -0.33 -1.5329 -1.0226 4.1
"293" 0.32 2.0328 0.34 -1.5329 0.4486 4.2
"294" 0.43 0.3889 -0.18 -1.5329 1.2288 4.6
"295" 1.26 1.2219 1.47 0.1775 1.9398 3.8
"296" 1.53 0.1524 0.34 0.6584 2.5276 4.3
"297" 0.56 0.9139 -0.33 0.1775 0.9618 5.3
"298" 1.89 0.64 -0.48 -1.3074 -0.4567 3.4
"299" 1.89 1.2219 0.78 -1.5329 2.3531 4
"300" 2.55 3.9067 2.27 1.4565 4.4249 4.6
"301" 0.79 0.1524 -0.02 -1.5329 1.4702 4.3
"302" -0.47 -0.767 -0.77 -0.2514 0.811 3.6
"303" 0.56 0.9139 -0.18 1.4565 1.2288 5.2
"304" 2.55 3.9067 1.07 0.6584 4.4249 5
"305" 1.02 1.5828 0.54 1.1696 2.7409 4.3
"306" 0.32 -0.3017 -2.96 -0.2514 -1.0226 3.1
"307" 1.26 1.2219 0.54 0.1775 2.7409 4.1
"308" 1.26 0.64 -0.77 -0.2514 0.6426 4.6
"309" 0.06 0.3889 -0.48 0.6584 0.4486 4.5
"310" 0.06 0.64 0.54 1.4006 0.9618 5.5
"311" 0.79 1.5828 -0.18 0.1775 0.9618 4
"312" 0.79 0.3889 -0.02 -0.7332 1.4702 3.7
"313" 0.56 0.64 -0.33 0.6584 0.2171 4.2
"314" -1.68 -0.53 0.78 -0.2514 1.0998 4
"315" 0.79 1.5828 -0.77 -0.2514 0.6426 3.6
"316" 0.32 0.3889 -0.48 -1.5329 0.9618 3.5
"317" 1.02 0.3889 0.15 1.4565 0.6426 5.2
"318" 1.02 0.64 -0.77 -1.5329 -2.1402 3.5
"319" -1 -0.3017 1.07 1.4565 1.3516 5.5
"320" 0.06 -0.53 -0.33 0.1775 0.6426 4.7
"321" -2.37 -2.0269 1.07 1.4565 1.3516 3.8
"322" 1.02 0.64 -0.63 0.6584 1.9398 4.6
"323" 0.32 0.9139 -0.18 1.4565 -1.0226 4.4
"324" 0.32 -0.076 -1.21 -0.2514 -1.0226 3.5
"325" 1.26 -0.53 -1.21 -1.5329 0.6426 4.6
"326" 0.06 -0.076 1.47 1.4565 1.5866 4.8
"327" 1.26 0.64 -0.02 0.1775 1.8194 4.4
"328" -0.2 -0.53 0.34 0.6584 0.4486 5.4
"329" 0.32 0.1524 -0.18 -1.5329 0.4486 4
"330" 0.32 1.5828 -0.48 -0.2514 1.5866 4.1
"331" 1.02 1.2219 -1.04 0.6584 1.2288 3.7
"332" -0.2 1.2219 0.15 0.6584 1.9254 3.9
"333" -2.37 -0.076 2.27 0.1775 1.9398 4
"334" -2.37 -2.0269 0.78 0.6584 1.4702 3.9
"335" 1.02 -0.076 -0.77 -0.2514 0.2171 3.8
"336" 0.56 0.64 -0.48 0.1775 0.6426 4.1
"337" 1.26 -0.3017 -1.06 1.4565 0.811 4
"338" -0.2 0.9139 1.07 1.4565 1.3516 3.7
"339" 0.56 0.3889 -0.18 -1.5329 0.6426 3.8
"340" -0.47 -0.767 -0.63 -1.5329 0.6426 3.8
"341" -0.47 -0.53 -0.77 0.1775 0.9618 3.9
"342" 0.79 1.5828 -2.05 1.4565 -1.0226 3
"343" -0.47 -0.3017 0.15 1.4565 2.5276 4.2
"344" 0.32 0.1524 -0.63 -1.5329 -0.0721 3.8
"345" 0.06 1.5828 -2.05 -1.5329 -0.0721 3.5
"346" 1.02 0.64 -0.18 -1.5329 1.5866 4
"347" 0.56 0.3889 -0.92 -0.2514 -1.0226 3.9
"348" 0.32 -0.53 -1.06 1.4565 0.6426 4.1
"349" -0.2 -0.53 -0.18 -0.2514 -0.0721 6
"350" -0.2 0.64 -0.18 -0.7332 1.0998 5.9
"351" 1.26 1.5828 -0.42 -0.7332 1.0998 5.6
"352" 1.02 1.2219 -0.02 -0.2514 0.2171 6
"353" -0.73 -0.53 2.27 -1.5329 1.3516 6.3
"354" -0.2 -1.0202 0.34 0.6584 1.0998 5.8
"355" -0.47 -0.53 0.15 -0.2514 0.6426 5.6
"356" -0.47 -0.767 0.15 1.4565 -0.0721 6.6
"357" -0.73 -0.3017 1.07 0.0758 0.2171 5.7
"358" -0.2 -0.53 0.54 1.4565 1.2288 6.1
"359" -2.37 1.5828 1.47 -0.7332 0.811 6.8
"360" 1.53 1.5828 -0.92 -1.3074 -0.0721 4.2
"361" -0.21 -0.3017 -0.77 0.6584 1.0998 4.4
"362" 0.06 0.64 -0.77 0.1775 1.0998 3.6
"363" 1.89 0.9139 0.34 -0.2514 -0.0721 3.8
"364" 1.53 -0.076 -0.63 0.6584 0.4486 3.9
"365" 1.02 0.1524 -0.18 1.4565 0.4486 2.6
"366" -0.47 1.5828 -0.18 0.6584 1.5032 4.8
"367" -1 -1.2999 -0.18 1.4565 -1.0226 4.9
"368" 1.89 2.6645 -0.33 -1.5329 -0.0721 3.8
"369" 0.79 -0.076 -0.92 -0.7332 0.811 3.3
"370" 0.56 0.1524 -0.92 -0.2514 0.4486 3.7
"371" 0.32 -0.53 -0.18 0.1775 -0.4567 4.5
"372" -2.37 -0.3017 2.27 -0.2514 0.811 5.8
"373" 0.79 0.9139 -0.33 0.6584 0.2171 4
"374" -0.2 0.1524 -1.06 0.1775 1.5866 5.2
"375" 0.79 -0.53 -0.33 1.4565 -2.1402 4.5
"376" 0.32 0.1524 -0.18 0.6584 -0.0721 4.9
"377" 0.56 1.2219 -0.77 -0.7332 0.6426 5.1
"378" -0.2 0.64 0.78 1.4565 1.4702 5.9
"379" -1.3 -0.767 0.34 1.4565 2.5276 5.7
"380" 0.56 0.9139 -0.02 -0.7332 -0.0721 4.9
"381" -0.2 0.3889 -0.48 0.1775 1.2288 4.1
"382" 0.56 0.64 0.34 -0.2514 0.9618 4.8
"383" 1.02 0.1524 -0.77 -0.2514 1.2288 4.5
"384" 1.26 -0.767 -1.06 1.4565 -0.0721 3.8
"385" 0.11 -0.3017 0.78 1.4565 2.2022 5.1
"386" 1.02 -1.2999 -0.63 1.2691 0.4486 3.7
"387" 2.55 2.6645 0.21 -1.5329 1.2288 3.8
"388" -0.47 -0.076 0.15 -0.2514 1.5866 5.1
"389" 0.56 0.1524 -0.77 1.4565 0.811 4
"390" -1.3 -0.3017 1.07 1.4565 2.2022 4.9
"391" -0.47 -2.0269 1.07 1.4565 3.4609 4.7
"392" 1.26 0.3889 0.54 1.4565 1.2288 4.2
"393" 0.56 -0.076 -0.33 1.4565 0.9618 3.9
"394" 1.02 0.3889 0.21 -0.2514 0.4486 3.8
"395" 0.43 -0.3017 -0.33 -1.5329 1.2288 3.6
"396" 0.79 2.6645 -0.33 -0.7332 3.4609 3.3
"397" 0.56 1.2219 -0.92 -0.2514 1.4702 4
"398" 0.06 -0.53 -0.63 -0.2514 0.2171 4.1
"399" 1.02 1.2219 -1.06 -1.5329 1.3516 4.1
"400" 0.56 -0.53 -0.63 0.6584 0.4486 3.8
"401" 1.02 0.3889 -0.77 -0.2514 1.1085 4.5
"402" 0.56 -0.767 -0.67 -1.5329 -1.0226 4
"403" 0.06 0.1524 0.34 -0.7332 -2.1402 4
"404" -0.47 -0.767 -0.18 -1.5329 0.2171 3.7
"405" 2.55 0.9139 -0.48 -1.5329 -0.0721 4.3
"406" 1.89 3.9067 -0.33 1.4565 1.0998 4.2
"407" 0.79 0.1524 -0.77 -1.5329 0.2171 4.5
"408" 0.06 -0.3017 -0.48 -0.2514 0.2171 3.8
"409" 0.32 0.64 -0.63 0.6584 1.4702 3.8
"410" 0.56 1.2219 -1.21 0.1775 0.9516 3.2
"411" 0.56 -0.076 1.47 1.4565 0.6426 5.5
"412" 0.79 0.64 -0.33 1.4565 -0.4567 5.1
"413" 1.26 -0.076 -1.86 -1.5329 -2.1402 3.8
"414" 0.32 -1.6239 -0.48 1.4565 0.2171 4.7
"415" 0.32 -0.3017 0.15 0.9484 -0.0721 4.2
"416" 0.79 1.2219 -0.92 0.6584 -0.0721 4.5
"417" 2.55 0.1524 -0.77 1.4565 -2.1402 4.1
"418" 1.89 0.9139 -0.18 0.4296 0.4486 4.8
"419" 0.79 -0.3017 -0.18 1.4565 0.9618 4.4
"420" -0.47 0.3889 0.34 1.4565 1.4702 5.1
